name,slug,value,date_of_information,ranking,region
"China","china","173,326,000","2023",1,"East and Southeast Asia"
"United States","united-states","87,987,000","2023",2,"North America"
"Japan","japan","59,758,000","2023",3,"East and Southeast Asia"
"Germany","germany","38,800,000","2023",4,"Europe"
"France","france","37,220,000","2023",5,"Europe"
"Iran","iran","29,020,000","2023",6,"Middle East"
"India","india","27,455,000","2022",7,"South Asia"
"United Kingdom","united-kingdom","26,627,000","2023",8,"Europe"
"Mexico","mexico","25,637,000","2023",9,"North America"
"Brazil","brazil","25,574,000","2023",10,"South America"
"Korea, South","korea-south","22,155,000","2023",11,"East and Southeast Asia"
"Russia","russia","20,816,300","2023",12,"Central Asia"
"Italy","italy","20,107,000","2023",13,"Europe"
"Spain","spain","18,431,000","2023",14,"Europe"
"Egypt","egypt","12,475,000","2023",15,"Africa"
"Canada","canada","10,897,000","2023",16,"North America"
"Taiwan","taiwan","10,000,000","2023",17,"East and Southeast Asia"
"Turkey (Turkiye)","turkey-turkiye","9,926,000","2023",18,"Middle East"
"Indonesia","indonesia","9,160,000","2023",19,"East and Southeast Asia"
"Malaysia","malaysia","8,402,000","2023",20,"East and Southeast Asia"
"Colombia","colombia","7,277,000","2023",21,"South America"
"Argentina","argentina","7,034,000","2023",22,"South America"
"Saudi Arabia","saudi-arabia","6,788,000","2023",23,"Middle East"
"Australia","australia","6,458,000","2023",24,"Australia and Oceania"
"Algeria","algeria","6,324,000","2023",25,"Africa"
"Uzbekistan","uzbekistan","6,147,000","2023",26,"Central Asia"
"Portugal","portugal","5,505,000","2023",27,"Europe"
"Poland","poland","4,987,000","2023",28,"Europe"
"Greece","greece","4,962,000","2023",29,"Europe"
"Philippines","philippines","4,627,000","2023",30,"East and Southeast Asia"
"Netherlands","netherlands","4,262,000","2023",31,"Europe"
"Belarus","belarus","4,173,000","2023",32,"Europe"
"Thailand","thailand","4,087,000","2023",33,"East and Southeast Asia"
"Austria","austria","3,604,000","2023",34,"Europe"
"Hong Kong","hong-kong","3,487,000","2023",35,"East and Southeast Asia"
"Switzerland","switzerland","3,003,000","2023",36,"Europe"
"Israel","israel","2,905,000","2023",37,"Middle East"
"Morocco","morocco","2,874,000","2023",38,"Africa"
"Syria","syria","2,816,000","2023",39,"Middle East"
"Hungary","hungary","2,693,000","2023",40,"Europe"
"Venezuela","venezuela","2,683,000","2022",41,"South America"
"Belgium","belgium","2,667,000","2023",42,"Europe"
"Kazakhstan","kazakhstan","2,574,000","2023",43,"Central Asia"
"Pakistan","pakistan","2,573,000","2023",44,"South Asia"
"Serbia","serbia","2,485,000","2023",45,"Europe"
"Vietnam","vietnam","2,316,000","2023",46,"East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","2,259,000","2023",47,"Middle East"
"Chile","chile","1,978,000","2023",48,"South America"
"Iraq","iraq","1,977,000","2023",49,"Middle East"
"Romania","romania","1,960,000","2023",50,"Europe"
"Guatemala","guatemala","1,940,000","2023",51,"Central America and the Caribbean"
"Singapore","singapore","1,912,000","2023",52,"East and Southeast Asia"
"Tunisia","tunisia","1,863,000","2023",53,"Africa"
"Sri Lanka","sri-lanka","1,707,000","2023",54,"South Asia"
"Azerbaijan","azerbaijan","1,635,000","2023",55,"Central Asia"
"Cuba","cuba","1,589,000","2023",56,"Central America and the Caribbean"
"Peru","peru","1,504,000","2023",57,"South America"
"Ecuador","ecuador","1,434,000","2023",58,"South America"
"Ukraine","ukraine","1,434,000","2023",59,"Europe"
"South Africa","south-africa","1,353,000","2023",60,"Africa"
"Laos","laos","1,300,000","2021",61,"East and Southeast Asia"
