name,slug,value,date_of_information,ranking,region,population
China,china,"173,326,000",2023,1,East and Southeast Asia,"1,416,096,094"
United States,united-states,"87,987,000",2023,2,North America,"347,275,807"
Japan,japan,"59,758,000",2023,3,East and Southeast Asia,"123,294,513"
Germany,germany,"38,800,000",2023,4,Europe,"83,294,600"
France,france,"37,220,000",2023,5,Europe,"65,426,179"
Iran,iran,"29,020,000",2023,6,Middle East,"89,562,389"
India,india,"27,455,000",2022,7,South Asia,"1,463,865,525"
United Kingdom,united-kingdom,"26,627,000",2023,8,Europe,"69,135,485"
Mexico,mexico,"25,637,000",2023,9,North America,"130,207,425"
Brazil,brazil,"25,574,000",2023,10,South America,"212,812,405"
"Korea, South",korea-south,"22,155,000",2023,11,East and Southeast Asia,"51,784,059"
Russia,russia,"20,816,300",2023,12,Central Asia,"143,997,393"
Italy,italy,"20,107,000",2023,13,Europe,"58,853,416"
Spain,spain,"18,431,000",2023,14,Europe,"47,351,567"
Egypt,egypt,"12,475,000",2023,15,Africa,"112,716,598"
Canada,canada,"10,897,000",2023,16,North America,"39,554,359"
Taiwan,taiwan,"10,000,000",2023,17,East and Southeast Asia,"23,895,920"
Turkey (Turkiye),turkey-turkiye,"9,926,000",2023,18,Middle East,"86,226,940"
Indonesia,indonesia,"9,160,000",2023,19,East and Southeast Asia,"285,721,236"
Malaysia,malaysia,"8,402,000",2023,20,East and Southeast Asia,"34,517,139"
Colombia,colombia,"7,277,000",2023,21,South America,"52,789,022"
Argentina,argentina,"7,034,000",2023,22,South America,"46,356,312"
Saudi Arabia,saudi-arabia,"6,788,000",2023,23,Middle East,"38,217,852"
Australia,australia,"6,458,000",2023,24,Australia and Oceania,"26,716,241"
Algeria,algeria,"6,324,000",2023,25,Africa,"35,309,222"
Uzbekistan,uzbekistan,"6,147,000",2023,26,Central Asia,"10,467,361"
Portugal,portugal,"5,505,000",2023,27,Europe,"10,352,042"
Poland,poland,"4,987,000",2023,28,Europe,"37,600,000"
Greece,greece,"4,962,000",2023,29,Europe,"9,900,000"
Philippines,philippines,"4,627,000",2023,30,East and Southeast Asia,"116,786,962"
Netherlands,netherlands,"4,262,000",2023,31,Europe,"17,787,236"
Belarus,belarus,"4,173,000",2023,32,Europe,"9,100,000"
Thailand,thailand,"4,087,000",2023,33,East and Southeast Asia,"71,619,900"
Austria,austria,"3,604,000",2023,34,Europe,"9,200,000"
Hong Kong,hong-kong,"3,487,000",2023,35,East and Southeast Asia,"7,546,700"
Switzerland,switzerland,"3,003,000",2023,36,Europe,"9,324,000"
Israel,israel,"2,905,000",2023,37,Middle East,"37,457,902"
Morocco,morocco,"2,874,000",2023,38,Africa,"23,783,880"
Syria,syria,"2,816,000",2023,39,Middle East,"21,217,473"
Hungary,hungary,"2,693,000",2023,40,Europe,"9,902,089"
Venezuela,venezuela,"2,683,000",2022,41,South America,"31,417,998"
Belgium,belgium,"2,667,000",2023,42,Europe,"5,510,240"
Kazakhstan,kazakhstan,"2,574,000",2023,43,Central Asia,"28,521,755"
Pakistan,pakistan,"2,573,000",2023,44,South Asia,"25,103,955"
Serbia,serbia,"2,485,000",2023,45,Europe,"6,801,042"
Vietnam,vietnam,"2,316,000",2023,46,East and Southeast Asia,"101,598,527"
United Arab Emirates,united-arab-emirates,"2,259,000",2023,47,Middle East,"9,700,000"
Chile,chile,"1,978,000",2023,48,South America,"20,100,000"
Iraq,iraq,"1,977,000",2023,49,Middle East,"44,400,000"
Romania,romania,"1,960,000",2023,50,Europe,"19,100,000"
Guatemala,guatemala,"1,940,000",2023,51,Central America and the Caribbean,"17,921,747"
Singapore,singapore,"1,912,000",2023,52,East and Southeast Asia,"6,018,445"
Tunisia,tunisia,"1,863,000",2023,53,Africa,"12,581,865"
Sri Lanka,sri-lanka,"1,707,000",2023,54,South Asia,"21,893,588"
Azerbaijan,azerbaijan,"1,635,000",2023,55,Central Asia,"11,221,060"
Cuba,cuba,"1,589,000",2023,56,Central America and the Caribbean,"11,315,444"
Peru,peru,"1,504,000",2023,57,South America,"34,314,934"
Ecuador,ecuador,"1,434,000",2023,58,South America,"11,271,659"
Ukraine,ukraine,"1,434,000",2023,59,Europe,"6,563,787"
South Africa,south-africa,"1,353,000",2023,60,Africa,"7,672,287"
Laos,laos,"1,300,000",2021,61,East and Southeast Asia,"4,381,040"
Libya,libya,"1,218,000",2022,62,Africa,"18,081,429"
Uruguay,uruguay,"1,205,000",2023,63,South America,"17,162,046"
Croatia,croatia,"1,203,000",2023,64,Europe,"171,620"
Czechia,czechia,"1,197,000",2023,65,Europe,"1,498,753"
"Korea, North",korea-north,"1,180,000",2021,66,East and Southeast Asia,"1,123,655"
Ireland,ireland,"1,176,000",2023,67,Europe,"4,494,588"
Dominican Republic,dominican-republic,"1,144,000",2023,68,Central America and the Caribbean,"6,753,219"
Sweden,sweden,"898,000",2023,69,Europe,"1,153,044"
Cameroon,cameroon,"896,000",2022,70,Africa,"420,799"
Lebanon,lebanon,"875,000",2021,71,Middle East,"2,814,891"
El Salvador,el-salvador,"863,000",2022,72,Central America and the Caribbean,"3,235,921"
Ethiopia,ethiopia,"862,000",2022,73,Africa,"24,292,000"
Moldova,moldova,"847,000",2023,74,Europe,"4,680,000"
Panama,panama,"811,000",2023,75,Central America and the Caribbean,"3,830,590"
Turkmenistan,turkmenistan,"802,000",2021,76,Central Asia,"383,059"
Puerto Rico,puerto-rico,"758,000",2023,77,Central America and the Caribbean,"1,245,690"
Denmark,denmark,"755,000",2023,78,Europe,"346,849"
Yemen,yemen,"728,000",2022,79,Middle East,"33,458,610"
Nepal,nepal,"726,000",2021,80,South Asia,"36,603,722"
Costa Rica,costa-rica,"678,000",2023,81,Central America and the Caribbean,"4,931,219"
New Zealand,new-zealand,"660,000",2023,82,Australia and Oceania,"2,786,842"
Slovenia,slovenia,"647,000",2023,83,Europe,"1,410,945"
Bulgaria,bulgaria,"619,000",2023,84,Europe,"3,244,403"
Bosnia and Herzegovina,bosnia-and-herzegovina,"614,000",2023,85,Europe,"538,205"
Burma,burma,"588,000",2023,86,East and Southeast Asia,"4,762,680"
Oman,oman,"579,000",2023,87,Middle East,"961,126"
Kuwait,kuwait,"573,000",2023,88,Middle East,"33,680,858"
Bolivia,bolivia,"550,000",2021,89,South America,"4,398,650"
Qatar,qatar,"526,000",2023,90,Middle East,"1,177,675"
Mongolia,mongolia,"524,000",2023,91,East and Southeast Asia,"1,352,280"
Slovakia,slovakia,"505,000",2023,92,Europe,"2,126,328"
